Pass;CWindow;SF;RMSE_SSD;RMSE_SSWE;R2_SSD;R2_SSWE;MAE_SSD;MAE_SSWE
All;(5, 5);21.0;18.95;59.2;0.53;0.08;15.41;47.42
All;(5, 5);22.0;20.08;62.38;0.53;0.08;17.14;52.39
All;(5, 5);23.0;21.21;65.52;0.53;0.08;18.71;56.92
All;(5, 5);24.0;22.3;68.56;0.53;0.08;20.15;61.08
All;(5, 5);25.0;23.35;71.48;0.53;0.08;21.48;64.9
All;(5, 5);26.0;24.36;74.27;0.53;0.08;22.7;68.43
All;(5, 5);27.0;25.32;76.92;0.53;0.08;23.83;71.7
All;(5, 5);28.0;26.23;79.44;0.53;0.08;24.89;74.73
All;(5, 5);29.0;27.1;81.83;0.53;0.08;25.87;77.56
All;(5, 5);30.0;27.92;84.09;0.53;0.08;26.78;80.2
All;(5, 5);31.0;28.69;86.24;0.53;0.08;27.64;82.66
All;(5, 5);32.0;29.43;88.27;0.53;0.08;28.44;84.98
All;(5, 5);33.0;30.13;90.2;0.53;0.08;29.19;87.15
All;(5, 5);34.0;30.79;92.03;0.53;0.08;29.9;89.19
All;(5, 5);35.0;31.42;93.76;0.53;0.08;30.57;91.12
All;(5, 5);36.0;32.01;95.42;0.53;0.08;31.2;92.94
All;(5, 5);37.0;32.58;96.99;0.53;0.08;31.8;94.66
All;(5, 5);38.0;33.12;98.49;0.53;0.08;32.36;96.3
All;(5, 5);39.0;33.64;99.91;0.53;0.08;32.9;97.84
All;(5, 5);40.0;34.13;101.27;0.53;0.08;33.41;99.31
All;(5, 5);41.0;34.6;102.57;0.53;0.08;33.9;100.71
All;(5, 5);42.0;35.05;103.82;0.53;0.08;34.36;102.05
All;(5, 5);43.0;35.48;105.01;0.53;0.08;34.8;103.32
All;(5, 5);44.0;35.89;106.14;0.53;0.08;35.22;104.53
All;(5, 5);45.0;36.28;107.23;0.53;0.08;35.62;105.69
All;(5, 5);46.0;36.66;108.28;0.53;0.08;36.0;106.8
All;(5, 5);47.0;37.02;109.28;0.53;0.08;36.37;107.86
All;(5, 5);48.0;37.37;110.25;0.53;0.08;36.73;108.87
All;(5, 5);49.0;37.7;111.17;0.53;0.08;37.06;109.85
All;(5, 5);50.0;38.03;112.06;0.53;0.08;37.39;110.79
All;(5, 5);51.0;38.34;112.92;0.53;0.08;37.7;111.69
All;(5, 5);52.0;38.63;113.75;0.53;0.08;38.0;112.55
All;(5, 5);53.0;38.92;114.54;0.53;0.08;38.29;113.38
All;(5, 5);54.0;39.2;115.31;0.53;0.08;38.57;114.18
All;(5, 5);55.0;39.46;116.05;0.53;0.08;38.83;114.96
All;(5, 5);56.0;39.72;116.77;0.53;0.08;39.09;115.7
All;(5, 5);57.0;39.97;117.46;0.53;0.08;39.34;116.42
All;(5, 5);58.0;40.21;118.13;0.53;0.08;39.58;117.11
All;(5, 5);59.0;40.44;118.77;0.53;0.08;39.82;117.79
All;(5, 5);60.0;40.67;119.4;0.53;0.08;40.04;118.43
All;(5, 5);61.0;40.89;120.0;0.53;0.08;40.26;119.06
All;(5, 5);62.0;41.1;120.59;0.53;0.08;40.47;119.67
All;(5, 5);63.0;41.3;121.16;0.53;0.08;40.67;120.25
All;(5, 5);64.0;41.5;121.71;0.53;0.08;40.87;120.82
All;(5, 5);65.0;41.69;122.24;0.53;0.08;41.06;121.37
All;(5, 5);66.0;41.88;122.76;0.53;0.08;41.25;121.91
All;(5, 5);67.0;42.06;123.26;0.53;0.08;41.43;122.43
All;(5, 5);68.0;42.24;123.75;0.53;0.08;41.6;122.93
All;(5, 5);69.0;42.41;124.23;0.53;0.08;41.77;123.42
All;(5, 5);70.0;42.58;124.69;0.53;0.08;41.93;123.9
All;(5, 5);71.0;42.74;125.14;0.53;0.08;42.09;124.36
All;(5, 5);72.0;42.9;125.58;0.53;0.08;42.25;124.81
All;(5, 5);73.0;43.05;126.0;0.53;0.08;42.4;125.24
All;(5, 5);74.0;43.2;126.42;0.53;0.08;42.55;125.67
